"Sign in with a passkey","Se connecter avec une clé d'accès"
"One more step to finish setting up this passkey.","Une dernière étape pour terminer la configuration de cette clé d'accès."
"That took too long — please try again.","Cela a pris trop de temps — veuillez réessayer."
"Unknown provider","Fournisseur inconnu"
"Synced","Synchronisée"
"Device-bound","Liée à l'appareil"
"Available on your other devices","Disponible sur vos autres appareils"
"Stays on this device only","Reste uniquement sur cet appareil"
"Create a passkey","Créer une clé d'accès"
"A passkey lets you sign in with your fingerprint, face, screen lock, or a security key — no password to remember or type.","Une clé d'accès vous permet de vous connecter avec votre empreinte digitale, votre visage, le verrouillage de votre écran ou une clé de sécurité — aucun mot de passe à retenir ou à saisir."
"Add a passkey","Ajouter une clé d'accès"
"Rename passkey {0}","Renommer la clé d'accès {0}"
"Delete passkey {0}","Supprimer la clé d'accès {0}"
"New name for this passkey","Nouveau nom pour cette clé d'accès"
"Remove this passkey?","Supprimer cette clé d'accès ?"
"You won't be able to sign in with {0} after this.","Vous ne pourrez plus vous connecter avec {0} après cette action."
"Remove passkey","Supprimer la clé d'accès"
"This passkey was flagged and disabled for your security.","Cette clé d'accès a été signalée et désactivée pour votre sécurité."
"Disabled","Désactivée"
"Added","Ajoutée"
"Last used","Dernière utilisation"
"Never used yet","Jamais utilisée"
"This device already has a passkey for this account.","Cet appareil possède déjà une clé d'accès pour ce compte."
"Couldn't add a passkey — please try again.","Impossible d'ajouter une clé d'accès — veuillez réessayer."
"This is your only passkey and passwordless login is on for your account — add another passkey (or turn off passkey-only login) before removing it.","C'est votre seule clé d'accès et la connexion sans mot de passe est activée pour votre compte — ajoutez une autre clé d'accès (ou désactivez la connexion sans mot de passe) avant de la supprimer."
"Sign in faster next time","Connectez-vous plus vite la prochaine fois"
"Add a passkey and skip the password next time — sign in with your fingerprint, face, or screen lock instead.","Ajoutez une clé d'accès et évitez le mot de passe la prochaine fois — connectez-vous plutôt avec votre empreinte digitale, votre visage ou le verrouillage de votre écran."
"Not now","Pas maintenant"
"Don't ask again","Ne plus demander"
"Couldn't save your choice — please try again.","Impossible d'enregistrer votre choix — veuillez réessayer."
"Add a passkey to this device","Ajouter une clé d'accès à cet appareil"
"You just signed in from another device. Add a passkey here to sign in directly next time.","Vous venez de vous connecter depuis un autre appareil. Ajoutez une clé d'accès ici pour vous connecter directement la prochaine fois."
"Passwordless login only","Connexion sans mot de passe uniquement"
"Turn off password sign-in for your account. Needs at least two passkeys so a lost device never locks you out.","Désactivez la connexion par mot de passe pour votre compte. Nécessite au moins deux clés d'accès afin qu'un appareil perdu ne vous bloque jamais."
"Changing the RP ID invalidates every existing passkey. This cannot be undone.","Modifier l'identifiant RP invalide toutes les clés d'accès existantes. Cette action est irréversible."
"The resolved RP ID / origins do not match this site's current host — passkey sign-in will fail here until this is corrected.","L'identifiant RP et les origines résolus ne correspondent pas à l'hôte actuel de ce site — la connexion par clé d'accès échouera ici tant que cela n'est pas corrigé."
"Passkey second factor needs core two-factor authentication enabled first.","Le second facteur par clé d'accès nécessite d'abord l'activation de l'authentification à deux facteurs du cœur."
"Turning off change notifications removes the main safeguard against a hijacked session silently adding a passkey.","Désactiver les notifications de changement supprime la principale protection contre l'ajout silencieux d'une clé d'accès par une session détournée."
"Password login is disabled site-wide, so passkey second factor can never run for password logins.","La connexion par mot de passe est désactivée sur tout le site, le second facteur par clé d'accès ne peut donc jamais s'exécuter pour les connexions par mot de passe."
"This change would leave {0} passwordless-only user(s) with no way to sign in. Clear their passwordless-only flag first.","Ce changement laisserait {0} utilisateur(s) sans mot de passe uniquement sans aucun moyen de se connecter. Désactivez d'abord leur option de connexion sans mot de passe uniquement."
"Both passkey login modes are off — the login-page passkey UI is hidden and no new passkeys can be used to sign in. Existing passkeys are preserved.","Les deux modes de connexion par clé d'accès sont désactivés — l'interface de clé d'accès de la page de connexion est masquée et aucune nouvelle clé d'accès ne peut être utilisée pour se connecter. Les clés d'accès existantes sont conservées."
"Cancel","Annuler"
"Change the RP ID?","Modifier l'identifiant RP ?"
"Confirm","Confirmer"
"Confirmation was cancelled.","La confirmation a été annulée."
"Confirming it's you…","Vérification de votre identité…"
"Confirm it's you","Confirmez votre identité"
"Confirm with passkey","Confirmer avec une clé d'accès"
"Confirm your password to continue.","Confirmez votre mot de passe pour continuer."
"Couldn't add passkey","Impossible d'ajouter la clé d'accès"
"Couldn't load your passkeys.","Impossible de charger vos clés d'accès."
"Couldn't remove passkey","Impossible de supprimer la clé d'accès"
"Couldn't remove the passkey.","Impossible de supprimer la clé d'accès."
"Couldn't rename the passkey.","Impossible de renommer la clé d'accès."
"Follow your device's prompt to add a passkey…","Suivez les instructions de votre appareil pour ajouter une clé d'accès…"
"Loading your passkeys…","Chargement de vos clés d'accès…"
"Manage in the WebAuthn Credential list","Gérer dans la liste des identifiants WebAuthn"
"My Passkeys","Mes clés d'accès"
"Origins: {0}","Origines : {0}"
"Passkey added.","Clé d'accès ajoutée."
"Passkey removed.","Clé d'accès supprimée."
"Passkey renamed.","Clé d'accès renommée."
"Passkeys","Clés d'accès"
"Passkeys unavailable","Clés d'accès indisponibles"
"Rename passkey","Renommer la clé d'accès"
"Save","Enregistrer"
"This browser can't create passkeys.","Ce navigateur ne peut pas créer de clés d'accès."
"This user has no passkeys.","Cet utilisateur n'a aucune clé d'accès."
"Use your password instead","Utilisez plutôt votre mot de passe"
"Yes, change it","Oui, le modifier"
"Managing passkeys needs JavaScript. Please enable it and reload this page.","La gestion des clés d'accès nécessite JavaScript. Veuillez l'activer et recharger cette page."
"Passkeys let you sign in with your fingerprint, face, screen lock, or a security key — no password to type.","Les clés d'accès vous permettent de vous connecter avec votre empreinte digitale, votre visage, le verrouillage de votre écran ou une clé de sécurité — aucun mot de passe à saisir."
"Manage passkeys","Gérer les clés d'accès"
"Change passkey-only login","Modifier la connexion par clé d'accès uniquement"
"Passkey-only login","Connexion par clé d'accès uniquement"
"On","Activé"
"Off","Désactivé"
"Not set","Non défini"
"Couldn't use a passkey — sign in another way.","Impossible d'utiliser une clé d'accès — connectez-vous d'une autre manière."
"Passkey sign-in was cancelled.","La connexion par clé d'accès a été annulée."
"That passkey can't be used here.","Cette clé d'accès ne peut pas être utilisée ici."
"Passkeys aren't available on this page.","Les clés d'accès ne sont pas disponibles sur cette page."
"Passkeys aren't supported on this device.","Les clés d'accès ne sont pas prises en charge sur cet appareil."
"No usable passkey was found.","Aucune clé d'accès utilisable n'a été trouvée."
"Couldn't complete passkey sign-in.","Impossible de terminer la connexion par clé d'accès."
"Couldn't reach the passkey service — try again.","Impossible de joindre le service de clés d'accès — veuillez réessayer."
"Waiting for your device…","En attente de votre appareil…"
"Verifying your signature…","Vérification de votre signature…"
"Still verifying — this can take a moment on a slow connection.","Vérification en cours — cela peut prendre un moment sur une connexion lente."
"You're in — taking you through…","Connexion réussie — redirection en cours…"
"No passkey was used — you can try again or sign in another way.","Aucune clé d'accès n'a été utilisée — vous pouvez réessayer ou vous connecter d'une autre manière."
"That passkey didn't work here — it may have been removed. Sign in another way.","Cette clé d'accès n'a pas fonctionné ici — elle a peut-être été supprimée. Connectez-vous d'une autre manière."
"This device can't use passkeys yet — sign in with your password instead.","Cet appareil ne peut pas encore utiliser de clés d'accès — connectez-vous plutôt avec votre mot de passe."
"Passkey confirmation isn't available here.","La confirmation par clé d'accès n'est pas disponible ici."
"Couldn't start confirmation.","Impossible de démarrer la confirmation."
"Couldn't reach the confirmation service — try again.","Impossible de joindre le service de confirmation — veuillez réessayer."
"This needs you to confirm it's you, but this sign-in can't be confirmed with a passkey or password. Sign in again with your password or a passkey, then try again.","Cette action nécessite de confirmer votre identité, mais cette connexion ne peut pas être confirmée avec une clé d'accès ni avec un mot de passe. Reconnectez-vous avec votre mot de passe ou une clé d'accès, puis réessayez."
"Waiting for your passkey…","En attente de votre clé d'accès…"
"That didn't work — please try again.","Cela n'a pas fonctionné — veuillez réessayer."
"That passkey didn't confirm it's you. Try again, or use your password.","Cette clé d'accès n'a pas confirmé votre identité. Réessayez ou utilisez votre mot de passe."
"Confirmation didn't complete.","La confirmation n'a pas abouti."
"Too many attempts. Try again later.","Trop de tentatives. Réessayez plus tard."
"That password wasn't right. Try again.","Mot de passe incorrect. Réessayez."
"We confirmed it's you, but the action still didn't go through — please try again.","Votre identité est confirmée, mais l'action n'a toujours pas abouti — veuillez réessayer."
"Couldn't reach the server — try again.","Impossible de joindre le serveur — veuillez réessayer."
"The action couldn't be confirmed — please try again.","L'action n'a pas pu être confirmée — veuillez réessayer."
"Action details","Détails de l'action"
"This sign-in hasn't been strongly verified recently. To manage your passkeys, confirm it's you below.","Cette connexion n'a pas été vérifiée de manière renforcée récemment. Pour gérer vos clés d'accès, confirmez votre identité ci-dessous."
"Confirm {0} with your passkey.","Confirmez {0} avec votre clé d'accès."
"Confirm this action with a passkey","Confirmer cette action avec une clé d'accès"
"Confirm with your password","Confirmer avec votre mot de passe"
"An action is required.","Une action est requise."
"A method is required.","Une méthode est requise."
"Passkey confirmation is unavailable.","La confirmation par clé d'accès n'est pas disponible."
"Turning on passwordless login means you will not be able to log in with a password — only a passkey. Keep at least two passkeys so a lost device never locks you out.","Activer la connexion sans mot de passe signifie que vous ne pourrez plus vous connecter avec un mot de passe — uniquement avec une clé d'accès. Conservez au moins deux clés d'accès afin qu'un appareil perdu ne vous bloque jamais."
"Password login will be allowed for your account again.","La connexion par mot de passe sera de nouveau autorisée pour votre compte."
"Turn on passwordless login?","Activer la connexion sans mot de passe ?"
"Turn off passwordless login?","Désactiver la connexion sans mot de passe ?"
"Turn on passwordless login","Activer la connexion sans mot de passe"
"Turn off passwordless login","Désactiver la connexion sans mot de passe"
"Passwordless login is on.","La connexion sans mot de passe est activée."
"Passwordless login is off.","La connexion sans mot de passe est désactivée."
"Couldn't change passwordless login.","Impossible de modifier la connexion sans mot de passe."
"Couldn't change passwordless login","Impossible de modifier la connexion sans mot de passe"
"Reload","Recharger"
"This needs a fresh confirmation, but no confirmation engine is configured. See docs/custom-ui.md.","Cette action nécessite une nouvelle confirmation, mais aucun moteur de confirmation n'est configuré. Voir docs/custom-ui.md."
"Passkey creation was cancelled.","La création de la clé d'accès a été annulée."
"Removing a passkey needs a confirmation engine. See docs/custom-ui.md.","La suppression d'une clé d'accès nécessite un moteur de confirmation. Voir docs/custom-ui.md."
"Changing passwordless login needs a confirmation engine. See docs/custom-ui.md.","La modification de la connexion sans mot de passe nécessite un moteur de confirmation. Voir docs/custom-ui.md."
"No confirmation engine is configured. See docs/custom-ui.md.","Aucun moteur de confirmation n'est configuré. Voir docs/custom-ui.md."
"Passkeys aren't available right now.","Les clés d'accès ne sont pas disponibles pour le moment."
"Couldn't start passkey sign-in — try again or sign in another way.","Impossible de démarrer la connexion par clé d'accès — réessayez ou connectez-vous d'une autre manière."
"Finish setting up this passkey","Terminer la configuration de cette clé d'accès"
"Confirm your password once to finish setting up this passkey.","Confirmez votre mot de passe une fois pour terminer la configuration de cette clé d'accès."
"Password","Mot de passe"
"Password is required.","Le mot de passe est requis."
"That didn't work — check your password and try again.","Cela n'a pas fonctionné — vérifiez votre mot de passe et réessayez."
"Verifying…","Vérification…"
"Use a verification code","Utiliser un code de vérification"
"Passkey verification unavailable","Vérification par clé d'accès indisponible"
"Passkeys aren't supported on this device. Use a verification code to finish signing in.","Les clés d'accès ne sont pas prises en charge sur cet appareil. Utilisez un code de vérification pour terminer la connexion."
